type,length_um,width_um,gap_um,thickness_um,frequency_hz,capacitance_fF,force_pN,max_deflection_nm
cantilever,200,4,1,1,34397.555585160015,7.083199999999999,35416000.0,1676497.0414201182
clamped_clamped,200,4,1,1,218903.31980509305,7.083199999999999,35416000.0,1676497.0414201182
cantilever,200,4,2,1,34397.555585160015,3.5415999999999994,8854000.0,419124.26035502955
clamped_clamped,200,4,2,1,218903.31980509305,3.5415999999999994,8854000.0,419124.26035502955
cantilever,200,4,3,1,34397.555585160015,2.361066666666666,3935111.1111111096,186277.4490466797
clamped_clamped,200,4,3,1,218903.31980509305,2.361066666666666,3935111.1111111096,186277.4490466797
cantilever,200,5,1,1,34397.555585160015,8.853999999999997,44269999.999999985,1676497.041420118
clamped_clamped,200,5,1,1,218903.31980509305,8.853999999999997,44269999.999999985,1676497.041420118
cantilever,200,5,2,1,34397.555585160015,4.426999999999999,11067499.999999996,419124.2603550295
clamped_clamped,200,5,2,1,218903.31980509305,4.426999999999999,11067499.999999996,419124.2603550295
cantilever,200,5,3,1,34397.555585160015,2.9513333333333325,4918888.888888886,186277.4490466797
clamped_clamped,200,5,3,1,218903.31980509305,2.9513333333333325,4918888.888888886,186277.4490466797
cantilever,300,3,1,1,15287.80248229334,7.9685999999999995,39843000.0,8487266.272189347
clamped_clamped,300,3,1,1,97290.36435781914,7.9685999999999995,39843000.0,8487266.272189347
cantilever,300,3,2,1,15287.80248229334,3.9842999999999997,9960750.0,2121816.568047337
clamped_clamped,300,3,2,1,97290.36435781914,3.9842999999999997,9960750.0,2121816.568047337
cantilever,300,3,3,1,15287.80248229334,2.6561999999999997,4426999.999999999,943029.5857988162
clamped_clamped,300,3,3,1,97290.36435781914,2.6561999999999997,4426999.999999999,943029.5857988162
cantilever,300,4,1,1,15287.80248229334,10.624799999999997,53123999.999999985,8487266.272189345
clamped_clamped,300,4,1,1,97290.36435781914,10.624799999999997,53123999.999999985,8487266.272189345
cantilever,300,4,2,1,15287.80248229334,5.3123999999999985,13280999.999999996,2121816.5680473363
clamped_clamped,300,4,2,1,97290.36435781914,5.3123999999999985,13280999.999999996,2121816.5680473363
cantilever,300,4,3,1,15287.80248229334,3.541599999999999,5902666.666666665,943029.5857988162
clamped_clamped,300,4,3,1,97290.36435781914,3.541599999999999,5902666.666666665,943029.5857988162
cantilever,300,5,1,1,15287.80248229334,13.280999999999997,66405000.0,8487266.272189349
clamped_clamped,300,5,1,1,97290.36435781914,13.280999999999997,66405000.0,8487266.272189349
cantilever,300,5,2,1,15287.80248229334,6.6404999999999985,16601250.0,2121816.5680473372
clamped_clamped,300,5,2,1,97290.36435781914,6.6404999999999985,16601250.0,2121816.5680473372
cantilever,300,5,3,1,15287.80248229334,4.426999999999999,7378333.333333331,943029.5857988163
clamped_clamped,300,5,3,1,97290.36435781914,4.426999999999999,7378333.333333331,943029.5857988163
cantilever,400,3,1,1,8599.388896290004,10.624799999999999,53123999.99999999,26823952.662721887
clamped_clamped,400,3,1,1,54725.82995127326,10.624799999999999,53123999.99999999,26823952.662721887
cantilever,400,3,2,1,8599.388896290004,5.312399999999999,13280999.999999998,6705988.165680472
clamped_clamped,400,3,2,1,54725.82995127326,5.312399999999999,13280999.999999998,6705988.165680472
cantilever,400,3,3,1,8599.388896290004,3.5415999999999994,5902666.666666666,2980439.1847468764
clamped_clamped,400,3,3,1,54725.82995127326,3.5415999999999994,5902666.666666666,2980439.1847468764
cantilever,400,4,1,1,8599.388896290004,14.166399999999998,70832000.0,26823952.66272189
clamped_clamped,400,4,1,1,54725.82995127326,14.166399999999998,70832000.0,26823952.66272189
cantilever,400,4,2,1,8599.388896290004,7.083199999999999,17708000.0,6705988.165680473
clamped_clamped,400,4,2,1,54725.82995127326,7.083199999999999,17708000.0,6705988.165680473
cantilever,400,4,3,1,8599.388896290004,4.722133333333332,7870222.222222219,2980439.1847468754
clamped_clamped,400,4,3,1,54725.82995127326,4.722133333333332,7870222.222222219,2980439.1847468754
cantilever,400,5,1,1,8599.388896290004,17.707999999999995,88539999.99999997,26823952.662721887
clamped_clamped,400,5,1,1,54725.82995127326,17.707999999999995,88539999.99999997,26823952.662721887
cantilever,400,5,2,1,8599.388896290004,8.853999999999997,22134999.999999993,6705988.165680472
clamped_clamped,400,5,2,1,54725.82995127326,8.853999999999997,22134999.999999993,6705988.165680472
cantilever,400,5,3,1,8599.388896290004,5.902666666666665,9837777.777777772,2980439.1847468754
clamped_clamped,400,5,3,1,54725.82995127326,5.902666666666665,9837777.777777772,2980439.1847468754
